,sentence,correct label,predicted label,is correct,is train,
162,east,inform,inform,True,True,
163,cool give me that phone number,request,request,True,True,
164,thank you good bye,thankyou,thankyou,True,True,
165,italian food,inform,inform,True,True,
166,and whats the address,request,request,True,True,
167,cheap restaurant in the south part of town,inform,inform,True,True,
168,um that serves,null,null,True,True,
169,thank you goodbye,thankyou,thankyou,True,True,
170,address,request,request,True,True,
171,address,request,request,True,True,
172,repeat that,repeat,repeat,True,True,
173,west part of town,inform,inform,True,True,
174,any area,inform,inform,True,True,
175,thank you good bye,thankyou,thankyou,True,True,
176,what food does it serve,request,request,True,True,
177,thank you good bye,thankyou,thankyou,True,True,
178,doesnt matter,inform,inform,True,True,
179,may i have the address please,request,request,True,True,
180,i want a cheap restaurant in the north part of town,inform,inform,True,True,
181,whats their address,request,request,True,True,
182,i dont care,inform,inform,True,True,
183,dont care,inform,inform,True,True,
184,and what type of food do they serve,request,request,True,True,
185,im looking for a restaurant in the center of town that serves mediterranean,inform,inform,True,True,
186,goodbye,bye,bye,True,True,
187,whats the area,request,request,True,True,
188,address,request,request,True,True,
189,dont care,inform,inform,True,True,
190,i dont care,inform,inform,True,True,
191,yes,affirm,affirm,True,True,
192,european food expensive restaurant,inform,inform,True,True,
193,unintelligible,null,null,True,True,
194,thank you goodbye,thankyou,thankyou,True,True,
195,unintelligible,null,null,True,True,
196,west,inform,inform,True,True,
197,and whats the phone number,request,request,True,True,
198,gastropub food,inform,inform,True,True,
199,yes,affirm,affirm,True,True,
200,may i have the address and price range please,request,request,True,True,
201,what area is it,request,request,True,True,
202,thank you good bye,thankyou,thankyou,True,True,
203,whats the phone number,request,request,True,True,
204,whats the price range please,request,request,True,True,
205,another,reqalts,reqalts,True,True,
206,can i have the address and phone number,request,request,True,True,
207,no im looking for a unintelligible that serves english food,negate,negate,True,True,
208,whats their address,request,request,True,True,
209,im looking for indian food in the east part of town,inform,inform,True,True,
210,is that in the north part of town,confirm,confirm,True,True,
211,how about india,reqalts,reqalts,True,True,
212,can i have the type of food,request,request,True,True,
213,okay whats the address,request,request,True,True,
214,is there anything else,reqalts,reqalts,True,True,
215,dont care,inform,inform,True,True,
216,moderate range,inform,inform,True,True,
217,does it serve kitalian food,confirm,confirm,True,True,
218,thank you good bye,thankyou,thankyou,True,True,
219,im looking for a cheap chinese restaurant,inform,inform,True,True,
220,north,inform,inform,True,True,
221,thank you good bye,thankyou,thankyou,True,True,
222,im looking for a cheap restaurant in the north part of town,inform,inform,True,True,
223,east,inform,inform,True,True,
224,postcode,request,request,True,True,
225,what is the address,request,request,True,True,
226,okay thank you good bye,thankyou,thankyou,True,True,
227,thank you goodbye,thankyou,thankyou,True,True,
228,id like italian food,inform,inform,True,True,
229,im looking for an expensive restaurant that serves european food,inform,inform,True,True,
230,what is the address and phone number,request,request,True,True,
231,thank you good bye,thankyou,thankyou,True,True,
232,what is the phone number,request,request,True,True,
233,what is the phone number,request,request,True,True,
234,does it serve baskaye food,confirm,confirm,True,True,
235,no,negate,negate,True,True,
236,correct,affirm,affirm,True,True,
237,how about vietnamese food,reqalts,reqalts,True,True,
238,and a phone number,request,request,True,True,
239,how about british,reqalts,reqalts,True,True,
240,can i have the address,request,request,True,True,
241,im looking for a restaurant in the north part of town and it should serve cata,inform,inform,True,True,
242,can i have the address,request,request,True,True,
243,phone number,request,request,True,True,
244,serving romania food,inform,inform,True,True,
245,uh yes i would like a restaurant in the center and it should serve jamaica,affirm,affirm,True,True,
246,unintelligible restaurant in the south part of town,inform,inform,True,True,
247,what is the address phone number and price range,request,request,True,True,
248,no,negate,negate,True,True,
249,i dont care,inform,inform,True,True,
250,s,null,inform,False,True,
251,i dont care,inform,inform,True,True,
252,post code,request,request,True,True,
253,post code,request,request,True,True,
254,alright thank you good bye,bye,bye,True,True,
255,phone number,request,request,True,True,
256,spanish food,inform,inform,True,True,
257,thank you good bye,thankyou,thankyou,True,True,
258,chinese,inform,inform,True,True,
259,steak,inform,inform,True,True,
260,whats the phone number,request,request,True,True,
261,expensive restaurant european food,inform,inform,True,True,
262,and the phone number,request,request,True,True,
263,yes,affirm,affirm,True,True,
264,anything else,reqalts,reqalts,True,True,
265,thank you goodbye,thankyou,thankyou,True,True,
266,phone number,request,request,True,True,
267,dont care,inform,inform,True,True,
268,is it chinese food,confirm,confirm,True,True,
269,whats the address,request,request,True,True,
270,chinese food,inform,inform,True,True,
271,i dont care,inform,inform,True,True,
272,moderate price west part of town,inform,inform,True,True,
273,european food,inform,inform,True,True,
274,type of food do they serve,request,request,True,True,
275,ok is there any restaurant that serves chinese food in the east part of town,reqalts,inform,False,True,
276,the east part of town,inform,inform,True,True,
277,thank you good bye,thankyou,thankyou,True,True,
278,phone number,request,request,True,True,
279,is there anything else,reqalts,reqalts,True,True,
280,and what area is it in,request,request,True,True,
281,dress,null,null,True,True,
282,thank you good bye,thankyou,thankyou,True,True,
283,sil,null,null,True,True,
284,yes,affirm,affirm,True,True,
285,i would like traditional food in the south part of town,inform,inform,True,True,
286,gastropub,inform,inform,True,True,
287,cough,null,null,True,True,
288,post code,request,request,True,True,
289,chinese restaurant please,inform,inform,True,True,
290,pan asian food,inform,inform,True,True,
291,what area,request,request,True,True,
292,im looking for an expensive restaurant that serves asian oriental food,inform,inform,True,True,
293,how about the center of town,reqalts,reqalts,True,True,
294,restaurant in the south,inform,inform,True,True,
295,yes,affirm,affirm,True,True,
296,may i have the phone number and post code please,request,request,True,True,
297,what area,request,request,True,True,
298,scandinavian,inform,inform,True,True,
299,address,request,request,True,True,
300,center,inform,inform,True,True,
301,phone number,request,request,True,True,
302,looking for an expensive restaurant,inform,inform,True,True,
303,what is the phone number and post code,request,request,True,True,
304,italian,inform,inform,True,True,
305,i want to find a restaurant in the east part of town,inform,inform,True,True,
306,what type of food,request,request,True,True,
307,phone number,request,request,True,True,
308,how about european food,reqalts,reqalts,True,True,
309,whats the phone number,request,request,True,True,
310,yes,affirm,affirm,True,True,
311,address,request,request,True,True,
312,the phone number,request,request,True,True,
313,hello welcome,hello,hello,True,True,
314,thank you good bye,thankyou,thankyou,True,True,
315,yes,affirm,affirm,True,True,
316,how about korean food,reqalts,reqalts,True,True,
317,serving barbecue food,inform,inform,True,True,
318,moderate,inform,inform,True,True,
319,austrian food,inform,inform,True,True,
320,type of food,request,request,True,True,
321,phone number,request,request,True,True,
322,moderately priced,inform,inform,True,True,
323,type of food,request,request,True,True,
324,im looking for a restaurant in the north part town and it should serve australian food,inform,inform,True,True,
325,what is the phone number,request,request,True,True,
326,address,request,request,True,True,
327,kosher food,inform,inform,True,True,
328,is there anything else,reqalts,reqalts,True,True,
329,im looking for a restaurant in the south part of town that serves creative food,inform,inform,True,True,
330,chinese,inform,inform,True,True,
331,phone number,request,request,True,True,
332,can i get the address,request,request,True,True,
333,okay how about the phone number,request,request,True,True,
334,im looking for a restaurant that serves japanese food in the north part of town,inform,inform,True,True,
335,im looking for a restaurant in the center of town,inform,inform,True,True,
336,north,inform,inform,True,True,
337,south,inform,inform,True,True,
338,is there anything else,reqalts,reqalts,True,True,
339,i want to find a restaurant in the west part of,inform,inform,True,True,
340,indian type of food,inform,inform,True,True,
341,thank you good bye,thankyou,thankyou,True,True,
342,phone number,request,request,True,True,
343,yes,affirm,affirm,True,True,
344,thank you goodbye,thankyou,thankyou,True,True,
345,yeah im looking for a cheap restaurant,affirm,affirm,True,True,
346,thank you goodbye,thankyou,thankyou,True,True,
347,im looking for a restaurant in the east part of town that serves hungarian food,inform,inform,True,True,
348,okay thank you good bye,thankyou,thankyou,True,True,
349,good bye,bye,bye,True,True,
350,phone number,request,request,True,True,
351,any area,inform,inform,True,True,
352,looking for a cheap restaurant in the west part of town,inform,inform,True,True,
353,can i have the address of the last one,request,request,True,True,
354,thank you good bye,thankyou,thankyou,True,True,
355,how about portuguese,reqalts,reqalts,True,True,
356,thank you good bye,thankyou,thankyou,True,True,
357,how about unintelligible,null,null,True,True,
358,it doesnt matter,inform,inform,True,True,
359,cheap,inform,inform,True,True,
360,sil,null,null,True,True,
361,looking for a moderately priced restaurant,inform,inform,True,True,
362,i dont care,inform,inform,True,True,
363,phone number,request,request,True,True,
364,i dont care,inform,inform,True,True,
365,spanish food,inform,inform,True,True,
366,i would like international food please,inform,inform,True,True,
367,anything else,reqalts,reqalts,True,True,
368,im looking for a cheap restaurant in the north of,inform,inform,True,True,
369,restaurant in the south part of town serving turkish food,inform,inform,True,True,
370,doesnt matter,inform,inform,True,True,
371,noise,null,null,True,True,
372,okay and ah whats the price range,request,request,True,True,
373,noise,null,null,True,True,
374,caribbean food,inform,inform,True,True,
375,modern european,inform,inform,True,True,
376,how about european food,reqalts,reqalts,True,True,
377,and the area,request,request,True,True,
378,irish food,inform,inform,True,True,
379,portuguese food,inform,inform,True,True,
380,south,inform,inform,True,True,
381,is there a restaurant in the north part of town that serves indian food,reqalts,reqalts,True,True,
382,im looking for a cheap restaurant in the south of town,inform,inform,True,True,
383,thank you good bye,thankyou,thankyou,True,True,
384,no,negate,negate,True,True,
385,and i think thatll do it thank you good bye,thankyou,thankyou,True,True,
386,whats the phone number,request,request,True,True,
387,i dont care,inform,inform,True,True,
388,noise,null,null,True,True,
389,im looking for a cheap restaurant in the east part of town,inform,inform,True,True,
390,what is the price range,request,request,True,True,
391,what is the post code,request,request,True,True,
392,is it moderate priced,confirm,confirm,True,True,
393,french,inform,inform,True,True,
394,i dont care,inform,inform,True,True,
395,what is the phone number,request,request,True,True,
396,telephone number,request,request,True,True,
397,right,affirm,affirm,True,True,
398,find irish food,inform,inform,True,True,
399,east part of town serving swedish food,inform,inform,True,True,
400,yes,affirm,affirm,True,True,
401,doesnt matter,inform,inform,True,True,
402,moderately priced,inform,inform,True,True,
403,how about chinese food,reqalts,reqalts,True,True,
404,what is the address and phone number,request,request,True,True,
405,uh,null,null,True,True,
406,yes,affirm,affirm,True,True,
407,any,inform,inform,True,True,
408,what is the phone number,request,request,True,True,
409,post code,request,request,True,True,
410,italian food,inform,inform,True,True,
411,im looking for moderately priced restaurant in the south part of town,inform,inform,True,True,
412,im looking for a moderately priced restaurant that serves tur,inform,inform,True,True,
413,doesnt matter west part of town,inform,inform,True,True,
414,i want a restaurant in the east part of town,inform,inform,True,True,
415,change that to mediterranean food,inform,inform,True,True,
416,address,request,request,True,True,
417,what is the pri what is the telephone number,request,request,True,True,
418,the price range,request,request,True,True,
419,and the post code,request,request,True,True,
420,north part of town,inform,inform,True,True,
421,can i have their address,request,request,True,True,
422,noise,null,null,True,True,
423,whats the address,request,request,True,True,
424,cheap,inform,inform,True,True,
425,phone number,request,request,True,True,
426,address,request,request,True,True,
427,thank you good bye,thankyou,thankyou,True,True,
428,address,request,request,True,True,
429,thank you good bye,thankyou,thankyou,True,True,
430,what is the phone number,request,request,True,True,
431,un unusual food,inform,inform,True,True,
432,im looking for an expensive restaurant that serves,inform,inform,True,True,
433,food,inform,inform,True,True,
434,what about asian food,inform,reqalts,False,True,
435,find me a cheap vietnamese restaurant,inform,inform,True,True,
436,thank you good bye,thankyou,thankyou,True,True,
437,how about indian food,reqalts,reqalts,True,True,
438,moderate,inform,inform,True,True,
439,dont care,inform,inform,True,True,
440,is there anything else,reqalts,reqalts,True,True,
441,and the phone number,request,request,True,True,
442,whats the address,request,request,True,True,
443,i dont care,inform,inform,True,True,
444,yes,affirm,affirm,True,True,
445,address,request,request,True,True,
446,can i have mediterranean food,inform,inform,True,True,
447,thank you goodbye,thankyou,thankyou,True,True,
448,uh yes an expensive restaurant,affirm,affirm,True,True,
449,it doesnt matter,inform,inform,True,True,
450,noise,null,null,True,True,
451,basque,inform,inform,True,True,
452,chinese,inform,inform,True,True,
453,thank you good bye,thankyou,thankyou,True,True,
454,um i would like to find an expensive restaurant in the south part of town,inform,inform,True,True,
455,address,request,request,True,True,
456,what is the phone number,request,request,True,True,
457,yes,affirm,affirm,True,True,
458,spanish food,inform,inform,True,True,
459,i want a restaurant,inform,inform,True,True,
460,im looking for a,inform,inform,True,True,
461,phone number,request,request,True,True,
462,thank you goodbye,thankyou,thankyou,True,True,
463,any price range,inform,inform,True,True,
464,whats the address,request,request,True,True,
465,unintelligible,null,null,True,True,
466,whats the address phone number and area,request,request,True,True,
467,im looking for a restaurant that serves european food,inform,inform,True,True,
468,in the south,inform,inform,True,True,
469,address,request,request,True,True,
470,may i have it its address,request,request,True,True,
471,phone number,request,request,True,True,
472,goodbye,bye,bye,True,True,
473,okay thank you good bye,thankyou,thankyou,True,True,
474,can i have asian food,inform,inform,True,True,
475,thai food,inform,inform,True,True,
476,thank you goodbye,thankyou,thankyou,True,True,
477,what is the phone number,request,request,True,True,
478,north american,inform,inform,True,True,
479,yes,affirm,affirm,True,True,
480,german food,inform,inform,True,True,
481,european food,inform,inform,True,True,
482,whats the phone number,request,request,True,True,
483,yes,affirm,affirm,True,True,
484,phone number,request,request,True,True,
485,phone number,request,request,True,True,
486,thanks good bye,bye,bye,True,True,
487,okay and what area is that,request,request,True,True,
488,turkish,inform,inform,True,True,
489,thank you good bye,thankyou,thankyou,True,True,
490,i dont care,inform,inform,True,True,
491,belgium food,inform,inform,True,True,
492,thank you good bye,thankyou,thankyou,True,True,
493,address,request,request,True,True,
494,thank you good bye,thankyou,thankyou,True,True,
495,okay whats the phone number,request,request,True,True,
496,how about chinese food,reqalts,reqalts,True,True,
497,price range,request,request,True,True,
498,thank you,thankyou,thankyou,True,True,
499,looking for something moderately priced on the east side of town,inform,inform,True,True,
500,any kind of food,inform,inform,True,True,
501,korean food in the north part of town,inform,inform,True,True,
502,scandinavian food,inform,inform,True,True,
503,australian food,inform,inform,True,True,
504,okay thank you good bye,thankyou,thankyou,True,True,
505,british food,inform,inform,True,True,
506,whats the phone number,request,request,True,True,
507,whats its number,request,request,True,True,
508,european,inform,inform,True,True,
509,what are the address and post code,request,request,True,True,
510,noise breath whats their phone number,request,request,True,True,
511,east,inform,inform,True,True,
512,the centre,inform,inform,True,True,
513,german food in the centre of town,inform,inform,True,True,
514,i dont care,inform,inform,True,True,
515,ringing i need a moderately priced restaurant,inform,inform,True,True,
516,give me the phone number,request,request,True,True,
517,can i have the address of the phone number of the venue,request,request,True,True,
518,thank you good bye,thankyou,thankyou,True,True,
519,i dont care,inform,inform,True,True,
520,yea,affirm,affirm,True,True,
521,find a restaurant serving cannabis food,inform,inform,True,True,
522,thank you good bye,thankyou,thankyou,True,True,
523,thank you good bye,thankyou,thankyou,True,True,
524,thank you good bye,thankyou,thankyou,True,True,
525,how about french food,reqalts,reqalts,True,True,
526,yes,affirm,affirm,True,True,
527,after,null,null,True,True,
528,what is the address,request,request,True,True,
529,west,inform,inform,True,True,
530,hello,hello,hello,True,True,
531,sorry,null,null,True,True,
532,expensive,inform,inform,True,True,
533,whats the address,request,request,True,True,
534,dont care,inform,inform,True,True,
535,i dont care,inform,inform,True,True,
536,address,request,request,True,True,
537,im looking for a restaurant in the center of town serving german food,inform,inform,True,True,
538,center,inform,inform,True,True,
539,barbecue food,inform,inform,True,True,
540,great whats the address and phone number,request,request,True,True,
541,may i have the address please,request,request,True,True,
542,unusual food,inform,inform,True,True,
543,thank you good bye,thankyou,thankyou,True,True,
544,what,null,null,True,True,
545,thai food,inform,inform,True,True,
546,thank you goodbye,thankyou,thankyou,True,True,
547,phone number,request,request,True,True,
548,and the phone number,request,request,True,True,
549,doesnt matter,inform,inform,True,True,
550,i dont care,inform,inform,True,True,
551,post code,request,request,True,True,
552,im looking,null,null,True,True,
553,address,request,request,True,True,
554,what does rice house,inform,inform,True,True,
555,afghan food,inform,inform,True,True,
556,im looking for an expensive restaurant,inform,inform,True,True,
557,yes,affirm,affirm,True,True,
558,what area is it in,request,request,True,True,
559,what is the address,request,request,True,True,
560,i dont care,inform,inform,True,True,
561,what is the phone number,request,request,True,True,
562,it doesnt matter,inform,inform,True,True,
563,thank you good bye,thankyou,thankyou,True,True,
564,any,inform,inform,True,True,
565,im looking for a restaurant in the north part of town serving indian food,inform,inform,True,True,
566,christmas,inform,inform,True,True,
567,im looking for an expensive restaurant in the south part of town,inform,inform,True,True,
568,in the north part of town,inform,inform,True,True,
569,irish food,inform,inform,True,True,
570,an expensive italian restaurant,inform,inform,True,True,
571,may i have the address please,request,request,True,True,
572,cheap restaurant,inform,inform,True,True,
573,im looking for a moderately priced restaurant,inform,inform,True,True,
574,right,affirm,affirm,True,True,
575,phone number,request,request,True,True,
576,west part of town,inform,inform,True,True,
577,good bye,bye,bye,True,True,
578,what is the phone number,request,request,True,True,
579,address,request,request,True,True,
580,what is the address,request,request,True,True,
581,i dont care,inform,inform,True,True,
582,address and phone number,request,request,True,True,
583,the south,inform,inform,True,True,
584,any area,inform,inform,True,True,
585,im looking for a restaurant in the center serving,inform,inform,True,True,
586,center,inform,inform,True,True,
587,scandinavian food,inform,inform,True,True,
588,thank,thankyou,thankyou,True,True,
589,where,request,request,True,True,
590,mediterranean,inform,inform,True,True,
591,noise,null,null,True,True,
592,what about indian food,reqalts,reqalts,True,True,
593,indian food,inform,inform,True,True,
594,dont care,inform,inform,True,True,
595,south part of town,inform,inform,True,True,
596,address,request,request,True,True,
597,caribbean food,inform,inform,True,True,
598,how about portuguese food,reqalts,reqalts,True,True,
599,sil,null,null,True,True,
600,how about asian oriental food,reqalts,reqalts,True,True,
601,thank you good bye,thankyou,thankyou,True,True,
602,what price range is this venue,request,request,True,True,
603,any noise,inform,inform,True,True,
604,modern european,inform,inform,True,True,
605,yes,affirm,affirm,True,True,
606,no well how about thai,negate,negate,True,True,
607,thank you good bye,thankyou,thankyou,True,True,
608,address,request,request,True,True,
609,part of town,request,request,True,True,
610,cheap restaurant,inform,inform,True,True,
611,thank you good bye,thankyou,thankyou,True,True,
612,im looking for a restaurant in the south part of town,inform,inform,True,True,
613,yes,affirm,affirm,True,True,
614,no,negate,negate,True,True,
615,thank you good bye,thankyou,thankyou,True,True,
616,how about chinese food,reqalts,reqalts,True,True,
617,does it serve canapes food,confirm,confirm,True,True,
618,food type,inform,inform,True,True,
619,what about british food,reqalts,reqalts,True,True,
620,phone number,request,request,True,True,
621,i would like,null,null,True,True,
622,sil,null,null,True,True,
623,may i have the postcode,request,request,True,True,
624,what is its address,request,request,True,True,
625,thank you good bye,thankyou,thankyou,True,True,
626,whats the phone number,request,request,True,True,
627,modern european food,inform,inform,True,True,
628,address please,request,request,True,True,
629,area,request,request,True,True,
630,center,inform,inform,True,True,
631,noise,null,null,True,True,
632,their address,request,request,True,True,
633,id like an expensive restaurant in the east part of town,inform,inform,True,True,
634,i dont care,inform,inform,True,True,
635,i want a restaurant in the center that serves seafood,inform,inform,True,True,
636,phone number,request,request,True,True,
637,thank you good bye,thankyou,thankyou,True,True,
638,mediterranean food,inform,inform,True,True,
639,i need a restaurant in the east part of town,inform,inform,True,True,
640,phone number,request,request,True,True,
641,welsh,inform,inform,True,True,
642,address,request,request,True,True,
643,thank you good bye,thankyou,thankyou,True,True,
644,danish,inform,inform,True,True,
645,noise can i have the phone number,request,request,True,True,
646,thank you good bye,thankyou,thankyou,True,True,
647,anything else,reqalts,reqalts,True,True,
648,address,request,request,True,True,
649,thank you goodbye,thankyou,thankyou,True,True,
650,thank you good bye,thankyou,thankyou,True,True,
651,any type of food,inform,inform,True,True,
652,how about thai food,reqalts,reqalts,True,True,
653,what part of town,request,request,True,True,
654,phone number tv_noise,request,request,True,True,
655,i need indian food,inform,inform,True,True,
656,im looking for a moderately priced restaurant,inform,inform,True,True,
657,um moderate,inform,inform,True,True,
658,chinese,inform,inform,True,True,
659,no,negate,negate,True,True,
660,thank you,thankyou,thankyou,True,True,
661,talian food,inform,inform,True,True,
662,bye,bye,bye,True,True,
663,thank you good bye,thankyou,thankyou,True,True,
664,i want a restaurant in the north part of town that serves french food,inform,inform,True,True,
665,find spanish restaurant,inform,inform,True,True,
666,moderate,inform,inform,True,True,
667,thank you good bye,thankyou,thankyou,True,True,
668,yes,affirm,affirm,True,True,
669,yes im looking for a restaurant in the north part of town,affirm,affirm,True,True,
670,is there anything else,reqalts,reqalts,True,True,
671,what is the post code,request,request,True,True,
672,thank you goodbye,thankyou,thankyou,True,True,
673,can you give me the address,request,request,True,True,
674,cheap,inform,inform,True,True,
675,phone number,request,request,True,True,
676,can i have their phone number,request,request,True,True,
677,moderate price range,inform,inform,True,True,
678,address,request,request,True,True,
679,how about chinese,reqalts,reqalts,True,True,
680,canapes,inform,inform,True,True,
681,anything else,reqalts,reqalts,True,True,
682,im looking for a cheap restaurant in the south part of town,inform,inform,True,True,
683,i dont care,inform,inform,True,True,
684,what is the address,request,request,True,True,
685,any area,inform,inform,True,True,
686,price range,request,request,True,True,
687,danish,inform,inform,True,True,
688,thank you good bye,thankyou,thankyou,True,True,
689,post code,request,request,True,True,
690,what is the address,request,request,True,True,
691,i dont care,inform,inform,True,True,
692,noise,null,null,True,True,
693,no,negate,negate,True,True,
694,phone number,request,request,True,True,
695,address,request,request,True,True,
696,chinese,inform,inform,True,True,
697,what is the address,request,request,True,True,
698,may i have the phone number,request,request,True,True,
699,is there anything else,reqalts,reqalts,True,True,
700,cheap restaurant in the north part of town,inform,inform,True,True,
701,south,inform,inform,True,True,
702,unusual,inform,inform,True,True,
703,i am looking for a moderately priced restaurant in the west part o,inform,inform,True,True,
704,whats the address and phone number,request,request,True,True,
705,anything else,reqalts,reqalts,True,True,
706,thank you goodbye,thankyou,thankyou,True,True,
707,any,inform,inform,True,True,
708,polynesian food,inform,inform,True,True,
